	Abiotrophia	Acidaminococcus	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Actinomycetales	Aerococcus	Agromyces	Alistipes	Alloprevotella	Alloscardovia	Anaerococcus	Anaeroglobus	Arcanobacterium	Arthrobacter	Atopobium	Bacteroides	Bergeyella	Bifidobacterium	Blautia	Bosea	Bradyrhizobiaceae	Brevibacterium	Bulleidia	Campylobacter	Casaltella	Caulobacter	Caulobacteraceae	Clostridiaceae	Clostridiales	Clostridium	Collinsella	Comamonadaceae	Coprococcus	Coriobacteriaceae	Corynebacterium	Delftia	Dermabacter	Dialister	Dorea	Eggerthella	Enterobacteriaceae	Enterococcus	Eubacterium	Ezakiella	Facklamia	Faecalibacterium	Fastidiosipila	Fenollaria	Finegoldia	Fusobacterium	Gardnerella	Gemella	Granulicatella	Haemophilus	Helcococcus	Hyphomicrobium	Jonquetella	Lachnospiraceae	Lactobacillus	L. crispatus	L. gasseri	L. iners	L. jensenii	Megasphaera	Metaprevotella	Microbacterium	Mobiluncus	Mogibacterium	Moryella	Murdochiella	Mycoplasma	Negativicoccus	Neisseria	No	Oligella	Parabacteroides	Parasutterella	Parvimonas	Peptococcus	Peptoniphilaceae	Peptoniphilus	Peptostreptococcus	Porphyromonadaceae	Porphyromonas	Prevotella	Prevotellaceae	Propionibacterium	Propionimicrobium	Pseudomonas	Pyramidobacter	Roseburia	Rothia	Ruminococcus	Sneathia	Solobacterium	Sphingobacterium	Sphingomonas	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	TM7	Treponema	Trueperella	Ureaplasma	Varibaculum	Veillonella
Alloprevotella	0.0	0.0	0.0	0.10872834015858024	0.0	0.0	-0.11931707486832999	0.0	0.0	0.0	0.0	0.0	-0.22297017007596437	0.1442040314805398	0.0	0.0	0.0	-0.1294539469768745	0.12468418776647514	0.0	0.0	0.1478004904592461	0.10484335475374534	0.0	0.0	-0.1648597330596211	0.0	0.0	0.0	0.0	-0.20161328628499162	0.0	0.0	0.11718676544515175	0.0	0.0	-0.13328797333429204	0.12142808381078725	0.0	-0.1839841556831053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11214183620413484	-0.21449383441624637	0.0	0.0	0.0	0.0	0.0	0.0	0.14061028493407648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14750049301072676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24669239090880118	0.0	0.0	-0.1189831883210004	-0.19891026783179988	0.0	0.0	-0.12081263676052922	0.11245758513205001	0.13147906011788252	0.0	0.14247113837048572	0.0	0.0	0.1290597060847748	0.16156517284022975	0.0	0.0	0.0	0.0	0.0	0.0	0.21813431863119237	0.0	0.0	-0.10411769268244975	0.0
Alloscardovia	0.11641208879499491	0.0	0.0	0.0	0.0	0.0	0.0	-0.1536634387080114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10968171646794415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.177489802824218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.15881646188758894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12264724634749924	-0.1376215147456186	0.0	0.0	0.0	0.0	0.0	0.0	0.13826076841007628	0.10596431736102192	0.10985429006477185	0.0	0.13914006556819664	-0.13136172412757374	0.0	0.12038119714102333	0.0	0.0	0.0	0.0	-0.10067006452121866	0.0	0.0	0.0	0.0	0.0	0.0	-0.13613318740393374	0.0	0.0	-0.11907501550920893	0.0	-0.15242674258045308	-0.13585094096823053	-0.18978602993416852	0.0	0.10175158223849452	0.0	0.0	0.0	0.0	0.0	0.0	-0.1326386801712673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	-0.21313378143774098	0.0	0.0	-0.18735308318285898	0.1343501127524861	0.22844787805737998	0.288507831453772	0.0	-0.16098171911121753	-0.1034149231141655	-0.22297017007596437	0.0	0.0	-0.12311744493496347	0.0	0.0	0.0	0.3183219028733295	-0.21479129848119544	0.0	0.0	-0.1341475809799956	-0.18160205539418714	0.0	-0.1376903664131434	0.4204853916126169	0.0	-0.16037081728503977	-0.14450630273774115	0.0	0.22598905552638754	0.10000886497296382	0.0	-0.1734231615138541	-0.10955535415527223	-0.11320526326242579	0.37275690561177044	-0.20573381550352265	0.0	0.3447763557707102	0.0	0.0	0.0	0.0	0.0	0.11379026724804925	0.20203774199690966	0.0	0.0	0.19398105068428323	0.636818045969544	0.0	0.0	0.0	-0.1730547455102237	0.0	0.0	-0.21352334057302713	0.0	0.0	0.0	0.0	0.0	-0.11761691366016556	0.0	-0.10992092490250391	0.0	-0.11500951821114205	0.0	-0.11417106972400407	0.0	0.10637992279435815	-0.11624693924218629	0.167700895989846	0.0	0.0	0.0	0.0	-0.14431132271954375	0.0	0.0	0.0	0.646112369797974	0.19698186427499903	0.0	0.342601937721561	0.3769618182874921	-0.21830046512847023	0.0	0.2896692686787098	-0.15387062901332216	0.0	0.0	-0.18034470028435445	0.0	0.0	-0.1358201139412198	-0.2245296882531375	-0.1317159592564311	0.0	0.0	0.18403028660537404	0.1425723335090942	-0.23614131644997116	-0.1787474872692081	-0.16499878187978964	0.0	0.2734940670158156	0.0
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1442040314805398	0.0	-0.12311744493496347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.14609066567479695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12044185730144925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10222392711431275	0.0	0.0	0.0	0.0	0.0	0.11189695756950878	0.0	0.0	0.1117145566546037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10175937569032611	0.0	0.0	0.0	-0.12359958586913447	0.0	0.0	0.0	0.0	0.15972983718075057	0.0	0.0	0.0	-0.11157532417448755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16446563739303893	0.0	0.0	0.0	0.0
Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10614371814009133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10608555892080358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10935570496690045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11224688221921394
Arthrobacter	0.0	0.0	0.0	0.0	0.1038083868014876	0.0	0.0	0.0	0.1120898286986389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11868667642772485	0.0	0.0	0.0	0.0	0.0	0.0	0.3321770494748115	0.0	0.0	0.0	0.0	0.0	0.0	-0.11363421881383257	0.0	0.0	0.0	0.0	0.0	0.2717332139179856	0.0	0.22900499279186923	-0.11626491984136234	0.0	0.0	0.0	0.16926430020272457	0.0	0.0	0.15043335212024878	0.0	0.15176396902465877	0.0	0.0	0.0	-0.1115250740915007	-0.152276637062294	0.0	0.11565504472141969	0.195303656556733	0.0	0.0	-0.13901362045454618	0.0	0.11082260260939202	0.0	0.0	0.0	0.0	0.0	0.1735218416860728	0.0	0.0	0.0	0.0	-0.10407855809017244	0.0	0.0	0.0	0.1669307459446645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12120864474216514	-0.11512187703362167	-0.13545842096840865	0.0	0.1203864364468021	0.13767599015090817	0.0	0.0	0.0	0.0	0.0	-0.1296106829625881	0.0	0.0	0.0	0.16535112267918567	0.0	0.0	0.0	0.0	0.0	0.11235334585039114	0.0	0.0	0.0
Atopobium	0.0	-0.12759604922635076	-0.11718825093908662	0.0	0.0	0.0	0.0	0.6428652737035239	0.0	-0.14062644033926158	0.0	-0.10968171646794415	0.0	0.0	0.0	-0.11868667642772485	0.0	-0.10708535394200301	0.0	0.0	-0.1334331599624709	-0.1183221021450194	-0.1267897319974957	-0.12315006215933115	0.32097664788908997	0.0	0.0	-0.11556653623414383	-0.12514228024166985	-0.13469957650378744	0.49415199060433956	-0.10202383917406839	-0.15944800337173404	-0.13278131371340673	-0.14381418861068967	0.6721608950258029	-0.2632937733879915	-0.12557637149948744	-0.1622088953444143	0.6472202275449719	-0.14612588335688736	0.0	-0.20252539879733408	-0.18342125906858725	-0.12581449268702902	0.0	-0.13094913503904637	-0.17100799271620915	0.0	0.0	0.0	0.0	0.7125787950844945	0.299153344322836	0.0	-0.1280652469702696	-0.11744544875775503	0.0	0.0	0.36877172904003097	-0.27235511884746577	-0.29460657628266174	-0.18160194634517482	0.0	-0.22630098941093485	0.7068451124072196	0.0	-0.13537678875983356	0.19994224007329803	0.0	0.0	0.0	0.35324877391757975	0.0	-0.10969355139041809	-0.10378309813454561	0.0	-0.10194070792548646	0.0	0.5634807769448322	0.0	0.0	0.15147888946823185	0.0	0.2647724881902552	0.10609607370049734	0.6442906313529817	0.16172873610588942	-0.24613633506458432	0.0	-0.12168145728303462	0.0	-0.15654115254642906	0.0	-0.13765025872300057	0.5879002212398186	0.0	0.0	-0.10546841141798989	-0.2764932582795835	-0.11266273312615624	-0.13291773094275072	0.0	0.25116558860824534	0.0	-0.10302220923773114	0.10470533081799932	0.0	-0.11210885669185858
Bacteroides	-0.16418476562915207	0.0	0.0	-0.14896783750295978	0.0	0.10493530669860748	0.18583264212845274	-0.19510099183608076	-0.11360153200732076	0.1403140907052044	-0.1294539469768745	0.0	0.3183219028733295	0.0	0.0	0.0	-0.10708535394200301	0.0	-0.17198246911369863	0.0	0.14539332401507024	0.0	0.0	0.0	-0.24648003387044087	0.38793959537029077	0.15885940653916347	-0.1034995766105177	0.0	0.0	0.10275945727447704	0.29708966547733495	0.10829688502797098	-0.1479613879391041	0.0	-0.23892777024287998	0.21478345409323446	-0.1154367763457416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17361616268743232	0.18165812477974136	0.228533013848502	0.0	0.2278649037548193	0.35733742620180287	0.0	-0.15833358318927385	-0.1873341459656275	0.0	0.0	0.0	-0.16144012131392968	0.0	-0.14625954705373717	0.0	0.0	0.0	-0.13792370302784052	0.0	-0.16917723356339415	0.1226430170261926	0.0	0.0	0.0	0.0	0.19857723847475917	-0.19043955156496833	0.19849501404641454	0.0	0.0	0.0	0.1245957167564519	0.0	-0.2371180629379529	0.0	0.14599405714275449	0.321989121794614	0.0	0.0	0.36136395282508854	0.0	-0.23465935068243693	0.0	0.18935700319145168	-0.16157883127176553	0.0	0.0	0.0	0.1341936825609408	-0.21709656336585603	0.0	-0.144661627866921	0.0	0.0	0.0	0.0	0.0	-0.19852798306898467	-0.11561125810117534	-0.10482459739552247	-0.11039559794808124	0.22807643182813983	0.0
Bergeyella	0.1582443353517036	0.0	0.0	0.0	0.0	0.0	-0.14043524884600175	0.0	0.0	0.0	0.12468418776647514	0.0	-0.21479129848119544	0.0	0.0	0.0	0.0	-0.17198246911369863	0.0	0.0	0.0	0.10304725727045169	0.0	0.0	0.0	-0.18916293223932168	0.0	0.0	0.0	0.0	-0.18473418439909484	0.0	0.0	0.1204277064456339	0.0	0.0	-0.12235376424142382	0.13619291420030205	0.0	-0.21433976786618003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10805674479626598	-0.2108277313717786	0.0	0.0	0.10655872828605323	0.1898422506677397	0.1461236172081506	0.0	0.13015942628584548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12164491575471385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2571779391856964	0.0	0.0	0.0	-0.18491040228179864	0.0	0.0	-0.10828228651381833	0.0	0.0	0.0	0.20732991727629116	0.0	0.0	0.0	0.19201415900299404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10204443346424127	0.0
Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10951363596799871	0.0	0.10774203958862064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10606832832524815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
