	L. iners	L. crispatus	Gardnerella	L. jensenii	L. gasseri	Atopobium	BVAB1	Sneathia	Megasphaera	Streptococcus	Prevotella	Fastidiosipila	Anaerococcus	Peptoniphilus	Corynebacterium	Finegoldia	Bifidobacterium	Aerococcus	BVAB	Parvimonas	Staphylococcus	Dialister	Senegalimassilia	Enterococcus	Lactobacillus	Mobiluncus	Gemella	Peptostreptococcus	Escherichia.Shigella	Porphyromonas	Veillonella	Limosilactobacillus	Ezakiella	Ureaplasma	Eukaryota	Moryella	Mycoplasma	Actinomyces	Haemophilus	Varibaculum	Rikenellaceae	Campylobacter	Fusobacterium	Howardella	Peptococcus	Bacteroidales	Bacteroides	Facklamia	Olsenella	Arcanobacterium	Lawsonella	NA	Halomonas	Murdochiella	Bulleidia	Micrococcus	Propionibacterium	Roseburia	Micrococcales	Acinetobacter	Ruminococcaceae	Stenotrophomonas	Lachnospiraceae	Family	Granulicatella	Slackia	Sutterella	Bacillus	Delftia	Sphingomonas
Mobiluncus	-0.12894707006618067	-0.1868392668410079	0.18333184771640404	-0.2256497429456297	-0.18889600267453552	0.28448190275160673	0.33758003413018545	0.34127090198326027	0.3326461119175077	-0.21218206255535907	0.34943489583136944	0.4546796515069372	0.0	0.32798990590787014	-0.2297428984765185	-0.18503837007401475	-0.19214615126678464	0.0	0.2218072010023216	0.4098578685274571	-0.2757416519904806	0.31469869254005156	0.40714089762762046	-0.22904444288012166	-0.27214891105049543	0.0	0.1825113366359763	0.0	-0.2213920412313889	0.33416713685349253	-0.19795038094280837	-0.2391676638996999	-0.0	-0.2642617664117301	-0.22001095569203208	0.19448284840938118	0.16753999140085135	-0.19277673741912393	-0.2326608417761338	-0.12412158971842116	0.29883592521456237	-0.0	-0.11471240928442493	-0.0	0.0	0.10992799915755729	-0.20659632655648794	-0.21948492001371006	-0.1253221285773729	0.196130474481159	-0.11488144469826947	-0.2182940941642742	-0.1868376074929184	-0.12066892926691072	0.17553201310143174	-0.19040864126498772	-0.2025756260557784	-0.10214445569529365	0.17362937837600695	-0.17054174041672857	-0.1345061139821334	-0.1918821745939368	-0.0	-0.11397746307601672	-0.22907938531180272	-0.0	-0.14002929473659753	-0.19539603433903835	-0.19609084298061147	-0.19491847077802368
Gemella	-0.0	-0.2897320145414414	0.41056646321124846	-0.25783464670760875	-0.2580166363384079	0.4519937434358796	0.2338007395856779	0.4948093091342505	0.3818568868534032	-0.0	0.44113871120790127	0.4442747593246895	0.14720621275096207	0.2924444608580414	-0.20991795641354383	-0.18390388280912068	-0.12240688702234437	0.4393547786487297	0.1733207124487058	0.5318638841727007	-0.188720661112649	0.4308365593938689	0.5511571764374088	-0.2261879074579215	-0.34326871851371765	0.1825113366359763	0.0	0.0	-0.21182105613569882	0.0	0.0	-0.328938562664988	-0.2048039838027897	-0.17561807162014642	-0.21933881770571223	-0.11115939945074552	0.31905058548945475	-0.10467271881951991	-0.12547021842198988	-0.27800034646256777	0.13793479441559586	-0.22905049912503736	-0.14001252860136232	-0.0	-0.1732923382051853	-0.0	-0.2772842078625445	-0.2569029869468309	-0.26114853721074566	0.203075915403985	-0.22478985085085323	-0.23244606532919648	-0.25262340801516664	-0.2544150073795016	0.14522933338588048	-0.2336154283438125	-0.27843125284752557	-0.2298704403392413	0.21513859632382554	-0.2147769556194142	-0.22594477855474351	-0.21910665380492467	-0.21613453560547652	-0.24373985762611294	-0.12834870437795964	-0.17256023858331393	-0.15842058348409022	-0.2389739919283338	-0.18638570717237346	-0.2112383863399593
Peptostreptococcus	-0.12490572217877424	-0.10631443152717004	0.0	-0.0	-0.11422851561718471	0.10048926494989235	-0.10555541716520332	0.141789209847459	0.0	0.131850645358019	0.17847375634568174	0.0	0.31008566700172613	0.2305518352341782	-0.0	0.16143950696999865	-0.0	-0.0	-0.11925519521583874	0.11365420713166458	-0.0	0.1372793149874771	0.12049298908825817	-0.12042774091625227	-0.14569182486201593	0.0	0.0	0.0	-0.0	0.23791214468096555	0.11137262260584749	-0.13989294859622511	0.0	-0.10458106705220135	-0.10128325194899962	0.16837663243313783	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.1280346391513848	0.20400012296793274	0.15300702868197444	0.18302746551367594	-0.12059623672546063	-0.0	-0.0	-0.0	-0.0	-0.11611409810272869	-0.11456605073334429	-0.0	0.0	-0.13131802110256421	-0.13289861130310698	-0.0	-0.0	-0.12171384386250286	-0.0	-0.13838353657006733	-0.0	0.0	-0.0	0.0	0.0	-0.1348641001431132	-0.12275653889473256	-0.13831278456302948
Escherichia.Shigella	0.0	0.16984557207893292	-0.2517926678242971	0.19688199882535426	0.18732351982049633	-0.27555818986938585	-0.20027627964421274	-0.2529863359152307	-0.2630666424222088	0.17689170618857478	-0.25968482522292097	-0.23998360638176897	-0.13818375121316956	-0.25721385509593103	0.1639011259091499	0.0	0.11980914440713158	-0.16660087813952612	-0.1442489020523262	-0.24947951167354546	0.2650003752123763	-0.25345269498759204	-0.18131009984665875	0.2642889300662922	0.20603556863168557	-0.2213920412313889	-0.21182105613569882	-0.0	0.0	-0.17703682917002825	0.0	0.20181632970579116	0.0	0.20668555991910706	0.15721859955294226	-0.0	-0.12219188945797652	0.0	0.19572392389669718	0.10586474827563086	-0.11568797882375188	0.0	0.0	-0.0	-0.0	-0.0	0.17351141722606878	0.1385147355411977	0.11201564557370233	-0.13744233271559125	0.12943443308088243	0.174663818933536	0.1791666622994033	0.10188718221486562	-0.0	0.16276149272708568	0.17108961287609015	0.0	-0.12874978072285626	0.14536747029262176	0.10180202069142283	0.15467942747101093	0.0	0.10639545927297506	0.15300797634868307	0.0	0.0	0.1761501802359711	0.13804864140809298	0.16502306298917452
Porphyromonas	-0.19979977399644594	-0.12210896447010958	0.0	-0.14648498802307902	-0.14315546975371574	0.13793772687764688	0.0	0.23015474978301542	0.12153749818958694	-0.10126969303533348	0.29139698067768804	0.2909104336201742	0.2570747310329574	0.3844279461442711	-0.0	0.0	-0.0	-0.0	-0.0	0.2342025017530851	-0.17769782148820515	0.24743491929695066	0.2407320187778456	-0.21232448502253015	-0.20139818168868712	0.33416713685349253	0.0	0.23791214468096555	-0.17703682917002825	0.0	-0.12398076484430831	-0.19896456228926052	0.23709171899078324	-0.20315447874037107	-0.16018569087841772	0.2653094634079197	0.0	0.0	-0.22085160697967005	0.0	0.12459066498584113	0.13725426525049214	-0.0	0.10924579884638398	0.17170405892303453	0.23620074279343084	-0.1618379892234721	-0.11358804434254036	-0.0	0.0	0.0	-0.16219109534496148	-0.1953513246286317	0.0	0.0	-0.21772641105500604	-0.18782700633586236	-0.0	-0.0	-0.21818140847956285	-0.0	-0.22897913589301955	-0.0	0.0	-0.22323321154416262	0.0	-0.0	-0.22657064334912413	-0.223547092185369	-0.20802962233121677
Veillonella	0.0	0.0	0.0	0.0	0.0	-0.0	-0.12129788163309488	0.0	-0.13636732636843613	0.3375731593105792	-0.0	-0.13119010388330837	0.12238941048458599	-0.0	0.10887683058930106	0.14810299692086587	0.0	0.0	-0.12970476898835614	-0.0	0.13550472567098254	-0.0	0.0	0.0	0.0	-0.19795038094280837	0.0	0.11137262260584749	0.0	-0.12398076484430831	0.0	0.0	-0.0	0.14683965958466827	0.0	-0.10243546132673031	-0.0	0.0	0.12556397764755364	-0.0	-0.14702081605980177	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.1423301286965251	-0.0	0.0	-0.0	-0.0	-0.12061826656266958	0.0	0.0	-0.0	-0.13861536646905465	0.0	-0.0	0.0	-0.0	-0.0	0.12535337951228354	0.0	0.0	0.0	0.0	0.0
Limosilactobacillus	0.1234166194994446	0.47093729217394675	-0.34971980515366813	0.41489843907194934	0.3564971448383542	-0.38989621631243926	-0.22893499418238086	-0.3802958957994481	-0.3744931463078504	0.0	-0.4249087384162907	-0.38311452605947816	-0.22059938839317478	-0.360691678014446	0.14636811856472345	0.0	0.12013892085309466	-0.31810889881709337	-0.16570898656719352	-0.37621795627522514	0.18384188070825558	-0.40949592712674543	-0.3320030618146016	0.2019630034478977	0.48399357025943346	-0.2391676638996999	-0.328938562664988	-0.13989294859622511	0.20181632970579116	-0.19896456228926052	0.0	0.0	0.0	0.2602802084989218	0.2177961517232752	-0.0	-0.16238974236474513	0.0	0.194842879415505	0.15547611617379725	-0.10028786015412551	0.0	0.0	-0.0	0.0	-0.0	0.24350674376594933	0.19737329556861472	0.1802797977304107	-0.13454221801757432	0.14941655090184086	0.233894199784342	0.24792979572768287	0.1786933136263158	-0.0	0.21331038256410678	0.25396329727244715	0.15901210317386572	-0.13041856852183425	0.20238526108649846	0.16920661110732232	0.22628994187174106	0.1599943628426394	0.15433108724587635	0.1809344464141639	0.11045584773831174	0.12740488351499196	0.22753078577575991	0.20067040048802592	0.2213939619810583
Ezakiella	-0.0	0.0	-0.21456858919327676	0.0	0.0	-0.16280393129434756	-0.20516128060942368	-0.14788452868696195	-0.17386614934277506	0.0	-0.0	-0.0	0.20179384303637077	0.13072033335617006	0.20316516310507293	0.32125149810029074	-0.0	-0.19624985872170347	-0.1446204517834575	-0.13472653932260967	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.2048039838027897	0.0	0.0	0.23709171899078324	-0.0	0.0	0.0	0.0	0.0	0.0	-0.1654146613972548	0.0	-0.0	0.21937862747890347	-0.0	0.27566484195813773	0.10865468755815204	0.0	0.19357118005455193	0.0	0.0	0.14130281580348197	0.13752254471991562	-0.1227772915429372	0.17590750297673247	0.0	0.0	0.2483894875783791	-0.13904679627827288	-0.0	0.0	0.0	-0.19328538213975754	-0.0	0.11922857720817218	-0.0	0.0	0.18445158289067062	-0.0	0.0	0.0	-0.0	-0.0	-0.0
Ureaplasma	0.2717002910736627	0.21049889301823765	-0.10441970802684714	0.21387184635577172	0.18260719938383935	-0.2565344440400434	-0.22311028354324158	-0.25204861840915826	-0.2981400123265997	0.14098858219594207	-0.2798917637910815	-0.2992831848193158	-0.12823606725951636	-0.2761999290190995	0.18884005061610024	0.12317752951881805	0.0	-0.0	-0.13441050680817385	-0.28100567653149017	0.2531717118455064	-0.30276396000977546	-0.22003776622559723	0.15719073891500795	0.28775038766750904	-0.2642617664117301	-0.17561807162014642	-0.10458106705220135	0.20668555991910706	-0.20315447874037107	0.14683965958466827	0.2602802084989218	0.0	0.0	0.28497991135981626	-0.11692863131298764	-0.0	0.0	0.19373469927340692	0.0	-0.15569190320720352	0.0	0.0	-0.10822540814128426	-0.0	-0.0	0.15318509730640006	0.16166906138760506	0.0	-0.16968191063161553	0.10627852398444375	0.2701019670256443	0.15458675145215237	0.0	-0.13274609311558222	0.14233203976818548	0.18871781682487554	0.0	-0.16642699864329052	0.1463461853354178	0.0	0.1314773249266356	0.0	0.0	0.13837410656238255	0.0	0.0	0.1616153161204204	0.12370029643751276	0.1339035447055457
Eukaryota	0.12966499648573115	0.2663013979264285	-0.2059631756062035	0.22895031816533967	0.19095170840528441	-0.28195295620916927	-0.2328417769106659	-0.246968803593896	-0.3056089939924441	0.11873871475100672	-0.24887559039559748	-0.27023685649024454	-0.0	-0.22032463710128136	0.2287267410379606	0.16639477883231302	0.13223034758266852	-0.15903472129169333	-0.18232834815065763	-0.25787421641236574	0.234205376290434	-0.29575771597754014	-0.21597053012645728	0.15952902335521074	0.28001533289727354	-0.22001095569203208	-0.21933881770571223	-0.10128325194899962	0.15721859955294226	-0.16018569087841772	0.0	0.2177961517232752	0.0	0.28497991135981626	0.0	-0.11937023975258473	-0.1226079263358314	0.10088831236141285	0.14583237047573563	0.15052529479681243	-0.16210112883941094	0.0	0.0	-0.0	-0.0	-0.10280123568361269	0.1294895792941561	0.13410892994662948	0.0	-0.15969033461670123	0.15089703455813902	0.5447246549761486	0.11097176240818543	0.101518178540031	-0.1270309727468797	0.12315808237904219	0.21191844867789644	0.0	-0.19889562827048612	0.14045575088075313	0.0	0.11390460493683771	0.0	0.0	0.0	0.0	-0.0	0.12306574963243763	0.12432237389706416	0.11461217993535812
Moryella	-0.14606100963445634	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.14158039473558737	0.0	0.0	-0.10880307610086865	-0.0	-0.0	-0.1506816493244978	0.0	0.0	-0.12506405309421875	0.0	0.12804330404196063	-0.0	-0.0	0.19448284840938118	-0.11115939945074552	0.16837663243313783	-0.0	0.2653094634079197	-0.10243546132673031	-0.0	0.0	-0.11692863131298764	-0.11937023975258473	0.0	-0.0	-0.0	-0.0	-0.0	0.13380846631939097	0.0	0.0	0.0	0.21668160065622183	0.2287241360775804	-0.0	-0.0	0.0	0.0	-0.0	-0.1082634594609626	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0
Mycoplasma	-0.0	-0.12703397333447547	0.19013892921843	-0.12720062329495033	-0.11721651795029037	0.20126393982713414	0.20732235740787844	0.3071809012411735	0.2017872771542027	-0.11931485829680721	0.20308650390522834	0.2618254610587538	-0.0	0.1045626583969462	-0.2026406989650838	-0.21358756335546672	-0.0	0.21024330967007404	0.11192344790089705	0.30118603943040256	-0.16238430556986966	0.21623181662862268	0.33091124080704126	-0.12768689130235863	-0.1705809106910543	0.16753999140085135	0.31905058548945475	-0.0	-0.12219188945797652	0.0	-0.0	-0.16238974236474513	-0.1654146613972548	-0.0	-0.1226079263358314	-0.0	0.0	-0.0	-0.10060946608488346	-0.16001900624461168	0.19954597087987297	-0.13908109801292562	-0.0	-0.0	-0.1011846976460617	0.0	-0.15337264461866512	-0.15618240461738764	-0.13955863364659116	0.18724105348945125	-0.10460202458709615	-0.12325988417882736	-0.12179981160569484	-0.15469241301432657	0.15652770500876695	-0.10694542024740744	-0.15720112961601151	-0.1060085084881542	0.1783897406512508	-0.0	-0.123559588307323	-0.0	-0.12556625911772082	-0.1522067177608463	-0.0	-0.10371083316142211	-0.0	-0.1005854128883157	-0.0	-0.0
