	Actinotignum	GU303868_g	Arcanobacterium	Mobiluncus	Gemella	Alloscardovia	Staphylococcus	Aerococcus	Facklamia	Bifidobacterium	Enterococcus	Gardnerella	L. crispatus	L. gasseri	L. iners	L. jensenii	Limosilactobacillus	Streptococcus	Clostridium	Corynebacterium	Blautia	CP009312_g	Howardella	Moryella	JRNA_g	Peptococcus	Peptostreptococcus	Faecalibacterium	Fastidiosipila	JN713389_g	KQ959578_g	Brevibacterium	Dialister	Megasphaera	Negativicoccus	Veillonella	Anaerococcus	CYUO_g	Ezakiella	Fenollaria	Finegoldia	Helcococcus	KI259813_g	Murdochiella	Parvimonas	Peptoniphilus	Fusobacterium	Sneathia	Sutterella	FM873692_g	Neisseria	Campylobacter	Escherichia	Actinobacillus	Jonquetella	Ureaplasma	Nesterenkonia	Atopobium	KQ959671_g	Olsenella	Bacteroides	Actinomyces	Porphyromonas	Prevotella
Howardella	0.0	0.0	0.0	0.0	0.0	0.2377195954320002	0.0	0.0	0.0	0.219419940843189	0.0	0.0	-0.1096554265181652	0.0	-0.12460514432601807	0.0	-0.1045398380209156	0.23407745103519767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10613211298171574	0.0	0.0	0.0	0.0	0.0	0.24072557350000534	0.0	0.0	0.0	0.22952842546719915	0.0	0.0	0.0	0.13374893847897548	0.0	0.0	0.0	0.0	0.17706275457619275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.19779971839578292	0.0	0.0	0.0	0.0	0.0	0.1242022065507874	0.0	0.19761630564375093
Moryella	0.0	0.12276118722363774	0.0	0.10611672319492792	0.0	0.0	-0.14766638454272898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12039299290749478	0.0	-0.11910739603577679	0.0	0.0	0.0	0.0	0.0	0.16432381888909647	0.0	0.0	0.0	0.0	0.10684856053357662	0.0	0.0	0.14336509748886356	0.0	-0.10990053981854639	0.0	0.0	0.0	0.0	-0.1255963632186849	0.0	0.0	0.0	0.0	0.0	0.0	0.10786829974932685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1179719564539807	0.0	0.0	0.0	0.0	0.12637706956382794	0.0
JRNA_g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1413602221163649	0.0	0.0	0.0	0.0	0.0	0.10035351172756202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.18461915426141995	0.0	0.0	0.0	-0.13140985410124253	0.1048066496435566	0.0	0.0	-0.10516273514163699	0.0	0.10791319973461441	0.0	0.0	-0.1434323408601099	0.0	0.0	0.0	0.0	0.0	-0.10604352021664275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11750656190476497	0.0	-0.19943584764083672
Peptococcus	0.0	0.0	0.0	0.11624851518740101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16432381888909647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10189104379660116	0.0	0.0	0.0	0.10088349255107015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1652538161361449	0.0
Peptostreptococcus	-0.10329791909270583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11461311671406944	0.0	0.0	0.10103776147197316	0.0	0.0	0.0	0.0	0.0	0.11663299367855239	0.0	0.0	0.0	0.0	0.10613211298171574	0.0	0.0	0.0	0.0	0.0	-0.14630279957190345	0.0	0.0	-0.1100811852206524	0.23666118734144126	0.0	-0.11663741507195591	0.10023286860359977	0.1613859019421292	-0.13155253310036422	0.0	0.0	0.1229990299336658	-0.1427190911459616	-0.10404809368736816	0.0	0.0	0.19188023036742424	0.14281985821887566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11139353898860194	0.13255052612047963	0.0	0.0	0.0	0.0	0.0	0.2730897817221085
Faecalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11994274564745347	0.0	0.14795167234232587	0.0	0.0	0.0	0.0	0.0	0.13199872250315492	0.0	0.30931008617441547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137859427072424	0.0	0.0	-0.20042350669868594	0.0	0.0	0.0	-0.14685760333652606	0.0	0.0	-0.12224574182286338	0.0	0.0	0.0	0.0	0.0	-0.15981115409793167	0.0	0.0	0.0	0.0	0.0	-0.16422005268162057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2974502776672824	-0.14743836913910863	-0.13988654164057868	-0.1927202692941185
Fastidiosipila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15825814909582325	0.0	0.0	0.0	0.10099022061769924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.14630279957190345	0.0	0.0	0.0	0.0	0.1421251542307998	-0.11554306590815483	0.0	0.0	0.0	0.0	0.11042467559220442	0.0	0.0	0.0	0.1870695403518302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14438189013448183	0.0	0.0	0.0	0.0	0.0	0.0	-0.1399750012383154
JN713389_g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13945006769720858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10133325921365378	0.0	0.0	0.0	0.0	0.0	0.0	0.137859427072424	0.0	0.0	0.0	0.0	-0.11241806724603537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10900594073619832	0.0	0.0	-0.12537872007806272
KQ959578_g	0.0	0.1077622272441413	0.11023001429724974	0.11934297993930457	0.20539398643684054	0.0	-0.21775978004993643	0.21758039360535109	-0.1065087112327242	0.0	0.0	0.2646494402857902	0.0	0.0	0.0	0.0	-0.10738921086032188	-0.17820138956713039	0.0	-0.27461049638988766	0.0	-0.18037651275316652	0.0	0.10684856053357662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37561237450980056	0.0	-0.11415603195361632	-0.14682166277597455	0.0	-0.13384576877880283	-0.10225281662206806	-0.2814788735000271	0.0	0.0	0.0	0.38076574529051893	0.0	0.0	0.45576367794689465	0.0	0.0	0.0	-0.1373415843511543	0.0	0.0	0.0	0.0	0.0	0.3487087259558609	0.4276947181688159	0.0	0.0	-0.16320152665722876	0.0	0.10721124712821864
Brevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11012421011340678	0.0	0.0	0.0	0.12124724827473213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1100811852206524	0.0	0.1421251542307998	0.0	0.0	0.0	-0.14325780513084202	0.0	0.0	0.0	0.0	0.10676544251412728	0.0	0.0	0.0	0.19659274367547575	0.0	0.0	0.0	-0.10724133469861216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2345354461643868	0.0	0.0	0.0	0.0	0.0	0.0	-0.16046989227736602
Dialister	0.0	0.0	-0.10896067409113046	0.0	0.0	0.0	-0.14994644079363928	0.16418664314034231	0.0	0.0	-0.21535544956347813	0.20621545147447984	-0.28937751368781356	0.0	-0.12242918837882187	-0.1930848439443575	-0.24528598269316096	0.11232963669378718	-0.23270356632932682	0.0	-0.20430861771116693	0.24637823742942075	0.24072557350000534	0.0	-0.18461915426141995	0.0	0.23666118734144126	-0.20042350669868594	-0.11554306590815483	-0.11241806724603537	0.0	-0.14325780513084202	0.0	0.2635171607052623	0.0	0.0	0.5098063638689929	-0.12801371478515775	0.1476194694858913	0.26236573089920623	0.3398456020959114	-0.15491951606891666	-0.13424701665133648	0.0	0.11472927763104483	0.6176142806698106	0.15512270468237283	0.11488624108475666	0.0	-0.16894076595585528	-0.23259382762480835	0.33522275856636163	-0.2001556051438239	-0.22541843874169898	0.0	-0.1398257149600492	-0.15378824055754947	0.3274266766897614	0.0	0.0	-0.19256521855479633	0.2922674968368813	0.29775187811922305	0.7671151882397613
Megasphaera	0.0	0.0	0.0	0.1086910493293055	0.14051367229123088	0.0	-0.2209728787647201	0.2578169371377195	-0.12831575169852621	0.0	0.0	0.2942414066300699	-0.160711514394614	-0.11827914949347013	0.0	-0.17962751642161123	-0.20025244851104204	-0.1676801535278133	0.0	-0.21642631735844184	0.0	0.0	0.0	0.14336509748886356	0.0	0.0	0.0	0.0	0.0	0.0	0.37561237450980056	0.0	0.2635171607052623	0.0	-0.10722252815805908	-0.10446776421848636	0.0	0.0	-0.11056747280885255	0.0	-0.19595464698976334	0.0	0.0	0.0	0.29713810147921843	0.0	0.0	0.4069417536508213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4248212192972296	0.35195815260911656	0.0	0.0	-0.10076615954609489	0.0	0.28709509759813084
Negativicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11663741507195591	0.0	0.0	0.0	0.0	0.0	0.0	-0.10722252815805908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11264583554535842	0.0	0.0	0.0	0.0	0.0	0.0
Veillonella	0.0	0.0	0.0	-0.11690914524105114	0.14501387500631352	0.0	0.12224470115305323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2608342063664162	0.0	0.0	0.0	0.0	0.0	-0.10990053981854639	0.0	-0.10189104379660116	0.10023286860359977	0.0	0.0	0.0	-0.11415603195361632	0.0	0.0	-0.10446776421848636	0.0	0.0	0.0	0.0	-0.12895355812155773	-0.10838124096119733	0.13535926110056806	0.0	0.0	0.0	-0.10059150115799635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13974267221131098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16904473891637697	0.0
